Log4j2, CVE-2021-45046
Feitian FIDO NFC USB-C / K40, CVE-2021-3011
BMC IPMI software, CVE-2023-40285
Windows Kernel, CVE-2021-42285
QuasarRAT, SSL-VPN
Trend Micro, arbitrary delete vulnerabilities
uClibc, DNS poisoning
Free Download Manager, vulnerability in a script
security cameras, minimal support
KRACKs, Key Reinstallation AttACKs
Atom, unauthorized access
Brave, CVE-2023-5217
Shein's Android application, privacy risks
PIX, Automatic Transfer System
Android, zero-click exploit chains
GitHub Advanced Security, exposed secrets
BigBasket, security breach
Liferay Portal, CVE-2020-7961
JavaScript, Magecart
Monero, cryptojacking
MOVEit Transfer, CVE-2023-35036
AWS, account takeover
Red Hat, CVE-2021-22600
Google, Cookie Theft
Google Play Store, backdoor
Spectre-BHB, Spectre-V2
vCenter Server, CVE-2021-21985
Fedora 37, Looney Tunables
Chrome sync feature, data exfiltration
Illumina's next-generation sequencing (NGS) software, flaws
Azure Synapse Pipelines, SynLapse
Apache Superset, CVE-2023-39265
Microsoft 365 Defender, cryware
Chrome OS, OS vulnerabilities
Recover, CVE-2022-36537
Garrett iC Module, remote code execution
Specops Password Auditor, credential stuffing
USB hub, side-channel attack
V8 JavaScript engine, CVE-2021-38003
SOHO routers, unpatched flaws
Microsoft, CVE-2023-35380
Cisco Small Business RV110W, CVE-2021-1459
Adaptive Security Device Manager (ASDM), CVE-2022-20651
Intruder, vulnerability scanning
Adaptive Shield, unauthorized document access
SiteManager, CVE-2020-11643
npm, malicious code
TikTok, CVE-2022-28799
Windows, CVE-2021-34481
HackerOne, plaintext credentials
Global Management System, CVE-2023-34123
Sierra Wireless AirLink Router, CVE-2022-46650
PLCs, trivially guessable credentials
SaaS apps, BEC campaigns
SMTP, email spoofing
CODESYS Gateway Server, CVE-2022-31803
Exchange Server, CVE-2022-21846
Cymulate, zero-day vulnerabilities
Java 18, CVE-2022-21449
Software as a Service, credential management
QTS 5.0.x, Dirty Pipe
Pandora, backdoor
ASUSTOR NAS, zero-day vulnerability
API security, cross-site scripting (XSS)
Outpost 24 Application Pen Testing, SQL Injection
UEFI system firmware, CVE-2023-40284
MDR service, zero-days
Strobes, remote code execution
Samsung, source code leaks
w3wp.exe, DLL side-loading
System Management Mode, CVE-2022-31646
Microsoft, CVE-2022-44698
Google account, GhostToken
Intel Graphics Driver, CVE-2021-1805
Azure, remote code execution flaw
Mariana Trench, injection vulnerabilities
Adobe, CVE-2023-38203
Discord, stolen credentials
Microsoft Exchange Servers, CVE-2021-27065
AppTrana, OWASP Top 10 Vulnerabilities
Okta, MFA fatigue
Cato Networks, DDOS
Google, adversarial perturbation attacks
ANY.RUN, zero-day vulnerabilities
PhoneHub, use-after-free bugs
CharmPower, Log4Shell
Airspan Networks Mimosa, unauthorized access
Steam, CVE-2020-6017
SharePoint, CVE-2020-17121
API Security Platform, known vulnerability
WordPress Automatic, Arbitrary Options Update vulnerabilities
GoAnywhere MFT, CVE-2023-0669
Junos OS, CVE-2022-22241
NVIDIA, MFA fatigue
UR5X, CVE-2023-43261
cloud workloads, lateral movement
Progress Software MOVEit Transfer, CVE-2023-34362
Chromium-based Edge browser, CVE-2023-36563
Outlook, CVE-2021-31174
Amazon Alexa, backend code changes
Global Management System, CVE-2023-34129
Bash stealer malware, DNS-based backdoor
Tenda AC15 AC1900, CVE-2020-10987
SharkBot, Automatic Transfer System
HP, buffer underflow attacks
BIAS, BIAS attacks
RV082, CVE-2021-1314
C200, denial-of-service
Ethereum, cryptomining
Netflix, remote code execution
FluBot, overlay attacks
Infusomat Space Large Volume Pump, URGENT/11
SaaS Security Posture Management, misconfiguration
Medusa, data theft
Point and Print Restrictions, PrintNightmare
watchOS, CVE-2020-3843
Atlassian, session fixation flaw
Omron NJ/NX controllers, CVE-2022-31206
HID Mercury access panels, CVE-2022-31485
VPN devices, CVE-2023-27991
Wing Security, unauthorized use
Windows, DogWalk
Oracle WebLogic Server, CVE-2020-14883
Magnitude Simba Amazon Redshift ODBC connector, SynLapse
point-of-sale (PoS) systems, memory corruption vulnerabilities
Linux, N-day vulnerabilities
Microsoft Azure Functions, unpatched vulnerability
BIG-IP, CVE-2021-22992
Google Docs, lack of X-Frame-Options header
Mitel Service Appliances – SA 100, CVE-2022-29499
JQuery, CVE
MaliBot, command-and-control (C2)
Windows SMB, CVE-2022-24500
Cynet, exploits
SaaS apps, phishing webpages
Confluence, CVE-2021-26084
Brave, clipboard-based crypto wallet replacing malware
iOS, CVE-2023-28204
ABB Totalflow, CVE-2022-0902
Apple M1 CPUs, covert timing channel in the CPU cache
Linux Bluetooth software stack, CVE-2020-12351
VMware ESXi, lack of adequate network segmentation
InTouchPOS, malicious PHP code
Citrix ADC, CVE-2022-27518
real-time operating systems, RCE vulnerabilities
VMware Identity Manager, CVE-2022-22961
UEFI system firmware, CVE-2023-40286
Active Directory, credential stuffing
AbstractEmu, Android security flaws
Realtek RTL8170C Wi-Fi module, CVE-2020-27301
QuTScloud, CVE-2023-23368
Internet Explorer, LogCrusher
Windows WLAN AutoConfig Service, CVE-2021-36965
RV320, CVE-2021-1316
Quick Color Picker, DLL search-order hijacking
Signal, logic bugs
Intel, vulnerability management
NXP J3D081_M59, CVE-2021-3011
Cisco, CVE-2021-1610
Print Spooler service, CVE-2021-34483
Apache Spark, SynLapse
Fortinet appliances, CVE-2018-13379
Discord tokens, dependency confusion attacks
Slack, virtual private network (VPN)
Octo, financial fraud
Amazon Web Services, CVE-2021-3101
ASCON-80pq, quantum key-search
Deep CDR, malware
VMware Identity Manager, CVE-2022-22957
Apple, remote code execution
Netatalk, CVE-2022-23122
Kubernetes API, DDoS attacks
Gateway, CVE-2023-4966
SMA 400, eight security vulnerabilities
Linux kernels, CVE-2020-27171
Ring cameras, brute-force attacks
Cobalt Strike, SQL injections
VMware Workspace One Access, CVE-2021-22002
Single Sign-On, compromised credentials
OAuth 2.0, API takeovers
Aria Operations for Logs, CVE-2023-20864
Windows SmartScreen, CVE-2022-44698
ChatGPT plugins, account takeover
WordPress, CVE-2021-24867
Brave, V8 flaw
PDF Viewer, scheme flooding
UEBA, backdoors
Linux Kernel, CVE-2021-43267
Microsoft Server-Side Request Forgery, CVE-2022-41040
FTA, FTA vulnerabilities
SRA 4600 VPN appliances, CVE-2019-7481
macOS 11.2 beta 2, firewall bypass
Global Management System, CVE-2023-34127
Brightcove, Magecart attacks
Browser Security Platform, data theft
SEL-5030 acSELeratorQuickSet, CVE-2023-31169
SiteManager, CVE-2020-11646
Rackspace Hosted Exchange, CVE-2022-41080
Android System apps, CVE-2021-42601
Checkmarx One, misconfigurations
Identity Provider, misconfiguration
Ubuntu, CVE-2021-3493
FortiOS SSL-VPN, CVE-2022-42475
NSO Group, zero-click exploits
Microsoft Exchange Server, Microsoft Exchange Server vulnerabilities
Transparency, Consent and Control (TCC), CVE-2021-30970
EC2 instances, CVE-2023-20593
AdFind, CVE-2021-36934
mifs web application, CVE-2023-35081
Mirai, weak Telnet or SSH passwords
DDR4, Half-Double
The Great Suspender, malware
Uber's privileged access management platform, plaintext credentials
Intelligent Platform Management Interface, CVE-2023-40286
Microsoft Defender for Endpoint, CVE-2022-30190
Docker, supply chain attack
SessionManager, ProxyLogon
VMware Workspace ONE Access, CVE-2022-22956
Protocol Buffers, Log4Shell
web browsers, microarchitectural website fingerprinting attacks
First American, web vulnerability
Opera, clipboard-based crypto wallet replacing malware
Intruder's authenticated web app scanner, unpatched flaws
Software-as-a-Service (SaaS), incorrectly configured user permissions
Global Management System, CVE-2023-34126
Chrome, CVE-2023-3420
VMware NSX Manager, CVE-2021-39144
Adaptive Shield, Misconfigurations
network gateways, weak and default remote access passwords
Passwordstate, phishing attack
iPhone SE (2020), GhostTouch
Nerapack loader, Internet Information Services (IIS) servers
MikroTik devices, CVE-2018-14847
Copilot, outdated APIs or idioms
ASCON-HASHA, side-channel attacks
Nucleus NET, NAME:WRECK
SSPM, security breaches
ExeonTrace, ransomware
Oracle WebLogic, CVE-2020-14882
Oracle WebLogic, CVE-2019-2725
Cisco RV routers, CVE-2022-20708
UEFI, CVE-2022-40517
Avaya network switches, zero-click vulnerabilities
QEMU, Log4j vulnerability
Open Web Application Security Project, OS injection techniques
databases, critical vulnerabilities
Microsoft Outlook, Browser-in-the-Browser (BitB) attacks
Sandbox, bugs
NAS devices, optical covert channel
Attack Based Vulnerability Management, CVE
Nagios XI, CVE-2020-28910
Linux, TELNET
API security platform, API security related incident
Etherpad, CVE-2021-34817
Screen Recorder, misconfigurations
Digicert, exfiltrate encrypted code signing certificates
Enhanced Indirect Branch Restricted Speculation, Spectre
SaaS, HIPPA
OpenSSL, CVE-2022-3786
Apache HTTP Server, CVE-2022-23943
MSGraph, CVE-2021-31939
aabquerys, DLL side-loading attacks
Microsoft, CVE-2021-34473
Ballistic Bobcat, known vulnerabilities in internet-exposed Microsoft Exchange servers
Atlassian, denial-of-service
RV130W, CVE-2021-1297
Steam Sockets, CVE-2020-6016
Rockstar Games, Vidar
PaperCut, CVE-2023-27350
Adobe Reader, CVE-2021-28550
RubyGems, CVE-2022-29176
systemd, CVE-2021-33910
HermeticWiper, Master Boot Record (MBR)
Samsung, CVE-2023-0266
Oracle Opera, ProxyLogon
WebKit, CVE-2021-30869
Virtual SA, CVE-2022-29499
RV215W, CVE-2021-1290
Microsoft's Active Directory, credential attacks
Nucleus ReadyStart, CVE-2021-31887
Software-as-a-Service (SaaS), cloud-based file storage being placed onto the internet with no controls
CRM, Vulnerabilities
SaaS applications, account hijacking
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31160
Envoy, weak authorization
Google Chrome, use-after-free
M365, malicious third party apps
web application firewalls, sideloading
Guerilla, spam accounts
WinZip Enterprise, weak passwords
Windows, CVE-2021-31979
Point-to-Point Tunneling Protocol, CVE-2022-41039
SolarWinds Orion, malicious executable
SuccessFactors, misconfiguration issues
Microsoft Exchange Servers, ProxyLogon vulnerabilities
API keys, DDoS attacks
Uber, leaked secrets
CODESYS, CVE-2022-32142
Azure, DDoS attacks
Infinite API Scanner, Zombie APIs
Samba, Zerologon
Citrix (NetScaler) Gateway, DDoS
oncology cloud service, data breaches
Secure Folder, CVE-2021-25392
Microchip Technology, AuthValue disclosure
Xootix, CVE-2022-0215
DKIM, email spoofing
Microsoft, CVE-2022-21855
D-Link VPN router, remotely exploitable root command injection flaw
Samsung Internet Browser, CVE-2022-22706
SASE, applications
Exchange servers, CVE-2021-34473
Amazon Nimble Studio AMI, buffer overflow
master boot record, UEFI Secure Boot
Android, WAP billing trojan clickers
Globant, hacked
Bitcoin/Dogecoin Wallets, remote code execution
Security Configuration Assessment, PCI-DSS
PHP, file upload vulnerability
Identity Manager Connector, CVE-2020-4006
Safari web browser, CVE-2023-28206
w3wp.exe, DLL search-order hijacking
RV320, CVE-2021-1317
QVR, CVE-2022-27588
Exchange servers, CVE-2021-27065
Huawei HG532 routers, CVE-2017-17215
Harbortouch, e-skimmer infections
Samsung devices, CVE-2023-21492
Android device, Credential reuse
SaaS Security Posture Management, advanced attacks
Treck HTTP Server, CVE-2020-25066
Vulnerability Assessment, CVE
NPM library, crypto-mining malware
Fortinet, file manipulation attacks
SaaS apps, misconfigurations
MyGenesis, email validation bypass
Fortinet FortiGate SSL-VPN, newly disclosed vulnerabilities
vm2, CVE-2022-36067
Exchange Servers, zero-day vulnerabilities
Perfect PDF, CVE-2020-9592
Google Play Store, malicious apps
Pegasus, PWNYOURHOME
Cisco NX-OS Software, CVE-2022-20625
Ivanti Endpoint Manager Mobile, CVE-2023-35081
Microsoft, CVE-2022-41040
OpenSSL, security holes in open source software components
Opera, remote code execution vulnerability
Apache Log4j 2, Log4Shell
RV260W, CVE-2021-1295
Perimeter 81, viruses
macOS, CVE-2023-23531
GitHub, compromised credentials
Microsoft Bing, misconfiguration
PCI DSS 4.0, sophisticated skimming malware
WordPress, security vulnerabilities in the WordPress content management system (CMS)
BeVigil, hardcoded API keys
Okta, MFA Fatigue attack
Cisco Webex Teams, CVE-2020-8913
Python Package Index, ransomware
Box, /mfa/unenrollment endpoint
FatPipe, lack of input validation mechanism
AWS, compromised accounts
UpdateAgent, macOS Gatekeeper
macOS, CVE-2022-26706
PlingStore, XSS exploit
Linux Kernel, Log4j vulnerability
Terrestrial Trunked Radio, CVE-2022-24402
WebKit, CVE-2023-32439
MikroTik routers, CVE-2018-14847
SMA 100 Series, zero-day vulnerabilities
Gloo Portal, weak authorization
ZTNA, known malware
iKVM remote control BMC functionality, CVE-2023-40286
SEL-5037 GridConfigurator, CVE-2023-31172
Control Web Panel, CVE-2021-45467
SQLmap, zero-day vulnerabilities
PyTorch, dependency confusion attack
Netfilter, Bring Your Own Vulnerable Driver (BYOVD)
Windows Server, brute-force attacks
SolarWinds Orion, Supernova
CODESYS WebVisu, CVE-2021-30187
Windows App Installer, CVE-2021-43890
Small Business RV160, CVE-2022-20700
NGINX Ingress controller, CVE-2023-5044
Email Security Gateway, CVE-2023-2868
embedded software development kits, RCE vulnerabilities
Magniber ransomware, CVE-2022-44698
Packagist, CVE-2022-24828
SASE, backdoors
MTA-STS, ransomware
uClibc, DNS spoofing
CODESYS, CVE-2022-32137
SureMDM console, remote code execution
Steam, browser-in-the-browser (BitB) attack
Play Protect, keylogger functionality
Norton Antivirus, phishing
Ultra-wideband (UWB) Real-time Locating Systems (RTLS), zero-days
PTaaS, security vulnerabilities
Uber, prompt bombing
RTL8195AM, CVE-2020-9395
Facebook Messenger, privacy nightmare
NeuralHash, hash collisions
ZeroLogon, CVE-2020-1472
Golang, ransomware
Samsung S10 5G, denial-of-service (DoS)
InsydeH2O, CVSS scores: 7.5 - 8.2
Zoom clients, memory corruption flaw
Siemens SINEC network management system, CVE-2021-33729
Simple Storage Service, misconfigured Amazon Web Services (AWS) Simple Storage Service (S3) bucket
FortiOS SSL VPN, CVE-2018-13379
FIP-FS 'Microsoft' Scan Engine, Y2K22 problem
Accellion File Transfer Appliance, zero-day vulnerabilities
Paytm Mall, security breach
CODESYS, CVE-2022-31805
Web Server component, CVE-2023-40290
SaaS app stack, misconfiguration
OpenLiteSpeed Web Server, CVE-2022-0072
Microsoft Exchange Servers, four security flaws
GIGABYTE drivers, CVE-2018-19321
User and Entity Behavior Analytics, OAuth-based attacks
cyberstorage, malware
Jamf's Secure Access Layer, phishing
HID Mercury access panels, CVE-2022-31479
Linux kernel, Dirty Pipe
Chrome, zero-day vulnerabilities
ExeonTrace, data exfiltration
Composer, command injection flaw
Google Drive, unauthorized dissemination
Linux, scheme flooding
Android, obfuscations
OpenTelemetry, DDoS attacks
Hikvision video surveillance products, CVE-2021-36260
PyPi, account takeover
tru.ID SDK, phishing
cloud, BEC campaigns
dompdf, unpatched security vulnerability
Baidu Maps, anomalous spyware traffic
NetExtender VPN client version 10.x, zero-day vulnerabilities
Windows, CVE-2021-31201
UEFI firmware, malicious backdoor
Safari, CVE-2021-1844
VMware vCenter, CVE-2021-44228
encrypted direct messages, man-in-the-middle attacks
PowerShell, zero-day flaw
Specops Password Policy, Breached Password Protection
Windows Mark of the Web, CVE-2022-41049
Rich Text Edit Control, CVE-2021-40454
Brute Ratel C4, antivirus (AV)
Nagios XI Switch Wizard, CVE-2021-37344
DDR4, Blacksmith
Active Directory, denial of service attack
CASB, unsanctioned apps
Linksys, unpatched security vulnerability
Hootsuite, hardcoded private Amazon Web Services (AWS) keys
iCloud Drive, going dark
Microsoft, vulnerabilities
UPnP, CallStranger vulnerability
Embedded C/C++, buffer overflow
Zendesk Explore, SQL injection
deep packet inspection (DPI) boxes, DDoS reflected amplification attacks
iMessage, CVE-2023-41061
MISP, bots
Firefox ESR, CVE-2022-1802
smart switches, Draconian Fear
WordPress plugins, Cross-site request forgery
Xiaomi Redmi Note 9T, CVE-2020-14125
Dell firmware driver, CVE-2021-21551
LogJam, RCE
OpenSSL version 3.0.4, heap buffer overflow
infusion pumps, URGENT/11
JavaScript NPM library, credential-stealing malware
Exchange Server, CVE-2022-21980
Alien, overlay attacks
Zen 4 processors, Inception
TikTok, security flaw
SpinOK SDK, SpinOk module
Airspan Networks Mimosa, secret keys access
Open Enclave, CVE-2021-33767
Ever Surf, security vulnerability
Microsoft Edge, CNAME cloaking
QSee, CVE-2018-9995
Nova 230, CVE-2023-0053
Jamf Trust app, zero-day threats
CODESYS, CVE-2022-32138
OutLoader, PrintNightmare
Moxa's MXview, CVE-2021-38458
DanaBot, password-stealing malware
Telegram, typosquatting
QuTS hero h5.0.1, CVE-2022-27596
VMware, CVE-2023-34051
Threema, replay attack
ZHtrap, command injection vulnerabilities
Pulse Secure SSL VPN, CVE-2019-11510
Chrome browser, CVE-2023-2136
AppTrana WAF, DDoS
scikit-learn, typosquatting
BLE, relay attack
Ubuntu 22.04, Looney Tunables
Facebook, adware
C standard library, RCE vulnerabilities
dotCMS, CVE-2022-26352
NuGet, typosquatting
Ubuntu LTS, Log4j vulnerability
UPS devices, flaw in the firmware upgrade mechanism
Cisco Small Business Routers, CVE-2021-34730
Exchange Server, ProxyLogon
Intruder, CWE/SANS Top 25
Small Business routers, CVE-2021-1331
SonicWall, CVE-2021-20023
Log4j, CVE-2021-45046
WordPress, HTML injection
Azure Service Fabric Explorer, CVE-2023-23383
Outlook, HTTP(S) flood attacks
Interactive Graphical SCADA System, multiple critical vulnerabilities
Zoho ManageEngine ADSelfService Plus, CVE-2021-37421
network interface, cache contention
Citrix (NetScaler) Gateway, amplified distributed denial-of-service
LockerGoga, brute force attacks
Gloo Gateway, weak authorization
encryption, data exfiltration
Machine Learning algorithms, company websites vulnerabilities
OIDC, unauthorized access
Ping, misconfigurations
Azure AD Password Protection, pwned passwords
Android Open Source Project, impersonation attacks
PowerDMARC's DMARC analyzer, email spoofing
Windows SmartScreen, CVE-2022-41091
mySCADA myPRO, CVE-2023-29150
Microsoft 365, misconfiguration issues
Log4j, remote code execution
authenticator apps, phishing scams
NMAP, CVE
UserNameMixed API, undetected brute-force attacks
Indusface, DDoS
Atlassian, remote code execution
GitHub, bypass flaw
Sunlogin, CNVD-2022-10270
Spireon, flaws
Chromium-based web browsers, HTML smuggling attacks
network cameras, optical covert channel
Google Chrome, CVE-2022-1364
Android, keylogger functionality
Outlook, CVE-2021-31939
Amazon Web Services, confused deputy problem
ImmuniWeb Platform, XSS
IndexedDB API, CVE-2022-22594
Microsoft Exchange, ProxyToken
Microsoft Office, CVE-2021-40444
Microsoft 365, token theft
Network Kernel Extensions, firewall bypass
TLS protocol, TLStorm 2.0
Mitel MiVoice Connect, CVE-2022-40765
Cisco Small Business Series Switches, CVE-2021-40112
Virtual System Administrator (VSA), CVE-2021-30119
EvilProxy, supply chain attacks
Monero, cryptomining
RTL8711AM, CVE-2020-9395
UPS devices, faulty TLS handshake
ForgeRock Access Manager, CVE-2021-35464
Microsoft, CVE-2021-40444
Instagram, issue
TBK DVR4104, CVE-2018-9995
Windows Print Spooler, CVE-2022-22718
JWT, unauthorized access
VMware, CVE-2022-22960
Dataprobe iBoot-PDU, path traversal
Linux, remote desktop protocol (RDP)
zlib, CVE-2016-9841
OWASP Top 10, XSS
Android 11, over-claim of permissions
Virtual SAN (vSAN) Health Check plug-in, CVE-2021-21985
Qradar, Supply chain attacks
Linux agent, escalate privileges
Windows Defender, Process Herpaderping
RARlab's UnRAR utility, CVE-2022-30333
MTA-STS, DNS spoofing
SUNBURST, trojanized software
Android Aurisys HAL, CVE-2021-0673
DevSecOps, misconfigurations
Windows, trojans
Nova 106, CVE-2023-0052
Return Trampoline, Retbleed
Python, dependency confusion attacks
QuTS hero h5.0.x, Dirty Pipe
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31159
Android System apps, CVE-2021-42600
Grindr, CVE-2020-8913
IBM Security QRadar Advisor with Watson, zero-day vulnerabilities
KMail, man-in-the-middle (MitM) attacks
Cobalt Strike, CVE-2019-9621
LoJax, SPI flash
Earthworm, vulnerabilities in Exchange Servers
MISP, viruses
ASR 1000 Series Aggregation Services Routers, CVE-2021-34727
BlastDoor, CVE-2021-30860
Linux, CVE-2020-25705
Active Directory, ransomware spread
Windows, zero-day exploits
VMware Identity Manager, CVE-2022-22958
Gitpaste-12, CVE-2020-5902
Adaptive Shield, SSO vulnerabilities
QNAP NAS, CVE-2020-2496
MediaTek system-on-chips, CVE-2021-0661
Joomla!, CVE-2017-9841
OIDC, weak authentication
GitHub import API, CVE-2022-2884
Apache OFBiz, CVE-2021-26295
network middleboxes, DDoS reflected amplification attacks
Analytics service, CVE-2021-22005
Chrome, zero-day flaws
Sigma Spectrum Infusion systems, remote denial-of-service (DoS)
RV260W, CVE-2021-1297
MD5, collision attacks
UEFI, CVE-2022-3432
Adreno GPU, CVE-2023-33107
Salesforce, shadow IT
Android, phishing webpages
VMware Cloud Foundation, CVE-2021-22026
ZTNA, keyloggers
Play Store, phishing webpages
splwow64.exe, CVE-2020-17008
Zendesk, misconfigurations
Windows, AMSI
Windows Support Diagnostic Tool, CVE-2022-30190
PHP, CVE-2022-31626
Defender, known vulnerabilities
Zoho ManageEngine, CVE-2022-47966
Win32k, CVE-2021-1732
Cloud Access Security Brokers, security breaches
cyberstorage, data exfiltration
APIs, business logic manipulation
Android, fleeceware
baseboard management controller firmware, CVE-2021-26728
PyPI, social engineering attacks
InfraSuite Device Master, CVE-2023-1133
RV110W, CVE-2021-1297
Microsoft Exchange Server, ProxyToken
Communities, ghost sites
Mark of the Web, CVE-2021-36934
Universal Plug and Play, CVE-2021-34991
Flubot, banking trojan
Dynatrace, unauthorized access
routers, weak and default remote access passwords
Office 365, policy changes and violations
SIP, CVE-2021-33056
Microsoft Exchange Server, CVE-2021-34473
Cisco Identity Services Engine, CVE-2023-20243
Instagram app, CVE-2020-1895
Synology Router Manager, CVE-2021-3711
XcodeSpy, backdoor
MegaCortex, SQL injections
SaaS, ransomware
Signal, Harvest Now, Decrypt Later
Instagram, CVE-2020-1895
remote access trojan, phishing
Google Chrome, CVE-2021-38002
Veeam Backup & Replication, CVE-2023-27532
Cisco Wireless Access Point products, fundamental design flaw in the IEEE 802.11 Wi-Fi protocol standard
Tenda GPON AC1200 routers, CVE-2022-30023
JScript9, CVE-2022-41128
Azure portal, cache bypass
Web Server component, CVE-2023-40286
Microsoft, Zerologon
GitGuardian, logic flaws
Zero Trust Network Access, worms
Netwrix auditor, CVE-2022-31199
LG, Bring Your Own Vulnerable Driver (BYOVD)
iOS 14.8, FORCEDENTRY
Upstox, unauthorized access
Word, CVE-2021-31174
Cloud Access Security Brokers, malicious apps
Siemens SIMATIC, CVE-2022-38773
Instagram, rate-limiting constraint
cloud technology, ransomware
Microsoft, CVE-2022-22019
Microsoft, zero-day vulnerabilities
Windows, UEFI Secure Boot
Veeam ONE, CVE-2023-41723
libarchive, CVE-2022-21849
chipsets, CVE-2022-40520
Redmi Note 11, CVE-2020-14125
SMTP, ALPACA
FRRouting, DoS condition
SolarWinds Orion, malicious backdoor code
Action1 cloud-native patch management platform, known vulnerability
WhatsApp, zero-day bugs
BEHINDER, DLL sideloading
Cybersecurity Advisor Program, DDOS
CronRAT, vulnerable versions of e-commerce platforms
REvil, triple extortion
RustBucket, Gatekeeper protections
hardware RNG peripheral, critical vulnerability in hardware random number generators
klow, crypto-mining malware
CODESYS V3, CVE-2022-47383
Teams, Slowloris
ProxyLogon Microsoft Exchange Server vulnerabilities, DLL side-loading
LogJam, remote code execution
VPN Server, CVE-2021-3711
2540 Series, remote code execution vulnerabilities
UEFI firmware, memory corruption vulnerabilities
DMARC, impersonation attacks
ProxyLogon Microsoft Exchange Server vulnerabilities, APT41
mySCADA myPRO, CVE-2023-28716
Azure Bastion Topology View SVG exporter, XSS vulnerability
CASB DLP, governance
tagDiv Composer, CVE-2023-3169
SSO, compromised account
Word, CVE-2021-38656
Poetry, argument injection
Apple iCloud, cache-based targeted de-anonymization attack
Chromium-based Edge browser, CVE-2023-4863
DevSecOps, secrets management issues
SPF, BEC
containers, phishing
VMware ESXi, Server Message Block (SMB)
Open Management Infrastructure, remote code execution flaw
Apple iCloud, SQL injection vulnerability
iPhone 6s, zero-day exploits
Microsoft Exchange Server, high-severity vulnerabilities
UR41, CVE-2023-43261
Dynatrace, data breaches
SD card, CVE-2019-9564
SaaS Security Posture Management, permission drifts
Orion API, CVE-2020-10148
Apple iCloud, interrupt-based side channels
Windows Defender, CVE-2021-26701
Exchange Server, CVE-2022-21840
Fortinet FortiOS SSL VPN, ProxyShell
APT10, SSL-VPN
VMware Aria Operations for Networks, CVE-2023-20888
Datagram Transport Layer Security, DDoS amplify attack
RV260, CVE-2021-1297
Spring framework, SpringShell
Static Application Security Testing, Broken Object Level Authorization
PrintNightmare, CVE-2021-34466
HP EliteBook, CVE-2022-23930
FortiOS, CVE-2023-33308
PTaaS, logical errors
SIPLUS S7-1500, CVE-2022-38773
Internet Information Services, CVE-2022-22025
Elementor, authenticated remote code execution flaw
Pling-based free and open-source software (FOSS) marketplaces, cross-site scripting
MTA-STS, DNS spoofing attacks
Pegasus, KISMET exploit
MTA-STS, email spoofing
Exim, CVE-2019-10149
Office365, critical vulnerabilities
macOS Monterey 12.3.1, CVE-2022-22675
DevOps, bugs
ping, CVE-2022-23093
Specops Password Policy, compromised passwords
Google Chrome V8 JavaScript engine, CVE-2023-3420
EventLog Remoting Protocol, LogCrusher
VMware Cloud Foundation, CVE-2022-22960
runtime protection, cross-site scripting
PostgreSQL engine, ExtraReplica
ChatGPT, phishing emails
Windows Kerberos, CVE-2022-37967
SonicWall SRA appliance, end-of-life
Factory Automation (FA) products, Intel(R) processors
Zimbra, CVE-2018-6882
Cloudflared, brute-force login attacks
RV130W, CVE-2021-34730
QTS, QSA-21-57
Equation Group, CVE-2017-0005
Android application, man-in-the-middle (MitM) attack
Exchange Server, OWASSRF
Baidu Search Box, anomalous spyware traffic
Fortinet FortiOS, CVE-2018-13379
Intruder, penetration tests
American Megatrends (AMI) MegaRAC Baseboard Management Controller (BMC), CVE-2022-2827
Small Business routers, CVE-2021-1343
Xcode, backdoor
Microsoft Azure, Log4Shell
Microsoft, CVE
PowerShell, Log4Shell
EC2 instances, Zenbleed
OpenSSL, CVE-2022-2274
LinkedIn, phishing emails
Security Scorecards, SolarWinds
Apple's M1 processor, speculative execution vulnerabilities
Casbaneiro, User Account Control (UAC) bypass
ETIC Telecom's Remote Access Server (RAS), CVE-2022-41607
Rainbow Fart, zip slip vulnerability
Ultimate Malware Reverse Engineering Bundle, Snake malware
Nginx, vulnerable versions of e-commerce platforms
OpenSSH server, pre-authentication double free vulnerability
Windows Autopatch, zero-day flaw
Garmin's ElevatedInstaller.exe, DLL side-loading
MTA-STS, impersonation attacks
ARM device ecosystem, CVE-2022-40517
SINEC, CVE-2021-33723
Nucleus ReadyStart, CVE-2021-31888
Azure Functions, server-side request forgery (SSRF)
Global Management System, CVE-2023-34128
RTLS Studio, CVE-2022-41989
MiVoice Connect, CVE-2022-29499
SonicOS, CVE-2022-22274
NSX-Edge, CVE-2022-22945
Amzetta zPortal Windows zClient, privilege escalation
RV110W, CVE-2021-1293
Workstation, CVE-2020-4005
SmartScreen, zero-day bug
Network Repository Function, deregistration of critical components
MSRPC, CVE-2021-1678
WP Super Cache, authenticated remote code execution (RCE)
BadAlloc, CVE-2021-22156
iOS, CVE-2023-42824
USBFerry, Internet Information Services (IIS) servers
API, API flaw
MozJPEG, CVE-2020-1895
Office 365, security holes
VMware vRealize Automation, CVE-2022-22957
Sophos, CVE-2022-1040
Zyxel NAS devices, CVE-2023-27992
Bundler, untrusted search path vulnerabilities
iOS 14, zero-day vulnerabilities
Samsung, Rowhammer
iOS, CVE-2023-23531
ProxyLogon, vulnerabilities
SharkBot, command-and-control (C2) communication mechanism
Synology DiskStation Manager, CVE-2021-3711
BRATA, phishing webpages
